n,q_plus,q_minus
3792,19,13
3794,13,3
3796,37,5
3798,7,47
3800,31,53
3802,7,11
3804,13,7
3806,37,23
3808,3,3
3810,7,13
3812,7,17
3814,43,3
3816,7,5
3818,3,17
3820,7,47
3822,5,11
3824,97,23
3826,3,17
3828,5,37
3830,61,11
3832,7,11
3834,5,17
3836,37,3
3838,7,47
3840,17,41
3842,37,11
3844,3,5
3846,13,13
3848,19,41
3850,3,3
3852,5,5
3854,7,29
3856,3,5
3858,7,5
3860,3,3
3862,67,5
3864,11,5
3866,13,107
3868,43,3
3870,17,31
3872,43,5
3874,31,17
3876,13,23
3878,37,17
3880,19,59
3882,7,13
3884,7,3
3886,31,3
3888,7,7
3890,7,23
3892,3,113
3894,5,13
3896,43,5
3898,19,11
3900,37,11
3902,3,71
3904,7,17
3906,13,13
3908,7,3
3910,31,29
3912,5,7
3914,3,5
3916,3,3
3918,23,17
3920,79,3
3922,7,71
3924,7,13
3926,31,269
3928,3,3
3930,31,13
3932,7,41
3934,97,3
3936,5,19
3938,73,5
3940,19,23
3942,53,17
3944,3,53
3946,37,5
3948,19,5
3950,13,29
3952,3,3
3954,23,19
3956,67,47
3958,13,3
3960,23,19
3962,13,17
3964,7,17
3966,11,5
3968,3,11
3970,7,11
3972,59,5
3974,61,83
3976,31,53
3978,7,23
3980,163,3
3982,43,5
3984,11,7
3986,7,59
3988,109,131
3990,23,11
3992,67,41
3994,7,47
3996,5,5
3998,37,11
4000,79,11
4002,5,5
4004,3,17
4006,43,3
4008,7,11
4010,61,53
4012,43,11
4014,7,5
4016,61,29
4018,3,11
4020,47,23
4022,3,3
4024,31,3
4026,7,5
4028,13,5
4030,7,17
4032,5,11
4034,7,5
4036,13,113
4038,5,7
4040,19,59
4042,3,71
4044,23,7
4046,193,3
4048,19,5
4050,13,11
4052,3,47
4054,43,137
4056,17,7
4058,103,3
4060,31,47
4062,5,5
4064,3,53
4066,7,3
4068,67,5
4070,7,17
4072,13,3
4074,5,17
4076,43,29
4078,3,17
4080,31,19
4082,19,5
4084,157,47
4086,47,7
4088,43,3
4090,37,17
4092,13,5
4094,3,3
4096,43,3
4098,109,11
4100,7,3
4102,13,3
4104,5,7
4106,3,3
4108,67,17
4110,19,7
4112,43,47
4114,97,3
4116,17,13
4118,67,3
4120,3,29
4122,5,11
4124,67,5
